K,k_index,position,asset_index,ticker
75,8,2,25,MCD
75,8,3,65,ITW
75,8,4,86,MU
75,8,5,78,EXC
75,8,6,47,ISRG
75,8,7,61,TGT
75,8,8,3,GOOGL
75,8,9,16,CSCO
75,8,10,6,PG
75,8,11,66,AON
75,8,12,44,BLK
75,8,13,13,KO
75,8,14,50,C
75,8,15,19,PFE
75,8,16,94,NVDA
75,8,17,8,BAC
75,8,18,42,LOW
75,8,19,39,GS
75,8,20,29,NEE
75,8,21,52,SPGI
75,8,22,2,AMZN
75,8,23,10,ADBE
75,8,24,18,CMCSA
75,8,25,59,USB
75,8,26,76,AEP
75,8,27,43,AXP
75,8,28,84,SYY
75,8,29,36,GE
75,8,30,24,COST
75,8,31,14,PEP
75,8,32,74,WM
75,8,33,9,DIS
75,8,34,69,COP
75,8,35,87,LRCX
75,8,36,35,IBM
75,8,37,17,INTC
75,8,38,96,LLY
75,8,39,64,EMR
75,8,40,20,ABT
75,8,41,31,QCOM
75,8,42,40,BA
75,8,43,15,WMT
75,8,44,4,JPM
75,8,45,93,RTX
75,8,46,12,CVX
75,8,47,49,ADP
75,8,48,32,HON
75,8,49,81,KMB
75,8,50,56,SO
75,8,51,63,CSX
75,8,52,95,CRM
75,8,53,68,EOG
75,8,54,34,AMGN
75,8,55,75,PSA
75,8,56,0,AAPL
75,8,57,41,SBUX
75,8,58,5,JNJ
75,8,59,48,AMD
75,8,60,7,HD
75,8,61,77,D
75,8,62,82,GIS
75,8,63,73,NSC
75,8,64,91,INTU
75,8,65,23,TMO
75,8,66,26,NKE
75,8,67,22,WFC
75,8,68,80,DD
75,8,69,53,CB
75,8,70,67,SLB
75,8,71,83,HSY
75,8,72,58,CL
75,8,73,54,MO
75,8,74,30,ORCL
97,9,0,5,JNJ
97,9,1,48,AMD
97,9,2,49,ADP
97,9,3,35,IBM
97,9,4,81,KMB
97,9,5,88,KLAC
97,9,6,21,MRK
97,9,7,19,PFE
97,9,8,58,CL
97,9,9,36,GE
97,9,10,4,JPM
97,9,11,31,QCOM
97,9,12,52,SPGI
97,9,13,41,SBUX
97,9,14,6,PG
97,9,15,62,FDX
97,9,16,10,ADBE
97,9,17,50,C
97,9,18,37,CAT
97,9,19,17,INTC
97,9,20,1,MSFT
97,9,21,46,MDLZ
97,9,22,85,ADI
97,9,23,70,APD
97,9,24,12,CVX
97,9,25,74,WM
97,9,26,8,BAC
97,9,27,75,PSA
97,9,28,28,TXN
97,9,29,40,BA
97,9,30,73,NSC
97,9,31,89,AMAT
97,9,32,60,PNC
97,9,33,23,TMO
97,9,34,90,ROP
97,9,35,27,DHR
97,9,36,26,NKE
97,9,37,72,ECL
97,9,38,2,AMZN
97,9,39,63,CSX
97,9,40,64,EMR
97,9,41,92,UPS
97,9,42,14,PEP
97,9,43,51,MS
97,9,44,39,GS
97,9,45,78,EXC
97,9,46,32,HON
97,9,47,61,TGT
97,9,48,3,GOOGL
97,9,49,86,MU
97,9,50,11,XOM
97,9,51,91,INTU
97,9,52,87,LRCX
97,9,53,13,KO
97,9,54,54,MO
97,9,55,83,HSY
97,9,56,69,COP
97,9,57,68,EOG
97,9,58,25,MCD
97,9,59,93,RTX
97,9,60,33,UNH
97,9,61,45,GILD
97,9,62,15,WMT
97,9,63,65,ITW
97,9,64,38,MMM
97,9,65,18,CMCSA
97,9,66,84,SYY
97,9,67,16,CSCO
97,9,68,77,D
97,9,69,24,COST
97,9,70,55,DUK
97,9,71,59,USB
97,9,72,71,SHW
97,9,73,34,AMGN
97,9,74,29,NEE
97,9,75,82,GIS
97,9,76,0,AAPL
97,9,77,96,LLY
97,9,78,20,ABT
97,9,79,44,BLK
97,9,80,7,HD
97,9,81,53,CB
97,9,82,22,WFC
97,9,83,76,AEP
97,9,84,67,SLB
97,9,85,42,LOW
97,9,86,30,ORCL
97,9,87,57,BDX
97,9,88,43,AXP
97,9,89,79,F
97,9,90,95,CRM
97,9,91,94,NVDA
97,9,92,56,SO
97,9,93,66,AON
97,9,94,9,DIS
97,9,95,47,ISRG
97,9,96,80,DD
